品牌车型,,,,,,,,购买年份,里程,销售方式,特点,原价/万,是否有补贴,现价/万
斯柯达, 明锐, 2015款, 1.4TSI, DSG逸尊版,,,,2016, 7.2万公里, 到店服务,严选车,14.2,0,8.4
别克, 凯越, 2013款, 1.5L, 手动经典型,,,,2013, 3.9万公里, 到店服务,严选车,9.1,0,3.2
奥迪A3, 2013款, Sportback,30, TFSI, 豪华型(进口),,,2012, 6.4万公里, 到店服务,严选车,49.2,0,9.7
雪铁龙, 世嘉, 2012款, 三厢, 1.6L, 手动品尚型,,,2012, 6.2万公里, 到店服务,超值严选车,50.8,0,3.5
路虎, 揽胜极光, 2017款, 2.0T, SE, PLUS, 智享版,,2017, 3.9万公里, 到店服务,严选车,15.4,0,26.58
哈弗H6, 2016款, 升级版, 1.5T, 手动两驱超值型,,,,2016, 2.4万公里, 店内直卖,严选车,13.7,0,4.6
别克, 威朗, 2018款, 三厢, 15S, 自动领先型,,,2018, 2.6万公里, 店内直卖,超值严选车,12.5,0,9.18
别克, 威朗, 2019款, 三厢, 15S, 自动进取型,,,2019, 0.4万公里, 店内直卖,严选车,10.8,0,8.93
哈弗H2, 2016款, 红标, 1.5T, 自动两驱豪华型,,,,2016, 5.3万公里, 店内直卖,严选车,19.7,0,5.9
丰田, YARiS, L, 致炫, 2014款, 1.5G, 手动炫动版,,2014, 5.2万公里, 店内直卖,严选车,43.2,0,3.86
丰田, 凯美瑞, 2013款, 200G, 经典豪华版,,,,2015, 8.4万公里, 店内直卖,严选车,13.7,0,10.68
DS, 5LS, 2016款, 1.6T, 舒适版THP160,,,,2016, 4.2万公里, 店内直卖,严选车,10,0,7.85
宝马X1, 2016款, sDrive18Li, 豪华型,,,,,2016, 4.9万公里, 店内直卖,严选车,11.4,0,18.64
本田, 飞度, 2014款, 1.5L, LX, CVT舒适型,,,2015, 7.3万公里, 店内直卖,严选车,24.9,0,5.7
雪佛兰, 科鲁兹, 2016款, 1.5L, 自动时尚天窗版,,,,2016, 2.0万公里, 店内直卖,严选车,12.5,0,6.6
大众POLO, 2014款, 1.6L, 自动舒适版,,,,,2015, 4.0万公里, 店内直卖,严选车,12.4,0,5.96
北京BJ20, 2016款, 1.5T, CVT豪华型,,,,,2016, 1.9万公里, 店内直卖,严选车,11.7,0,6.79
哈弗H6, 2016款, 升级版, 1.5T, 手动两驱都市型,,,,2016, 3.9万公里, 店内直卖,严选车,11.9,0,4.86
起亚, 福瑞迪, 2018款, 1.6L, 自动智享互联版Value-Connect,,,,2018, 0.9万公里, 店内直卖,超值严选车,14.2,0,7
日产, 逍客, 2016款, 2.0L, CVT精英版,,,,2016, 1.4万公里, 店内直卖,超值严选车,13.6,0,9.7
哈弗H1, 2016款, 蓝标, 1.5L, AMT豪华型,,,,2016, 2.2万公里, 店内直卖,严选车,29.3,0,4.28
大众, 速腾, 2015款, 1.6L, 自动舒适型,,,,2016, 1.5万公里, 店内直卖,严选车,38,0,8.75
斯柯达Yeti, 2016款, 1.4TSI, DSG前行版,,,,,2015, 3.8万公里, 店内直卖,严选车,15.5,0,7.65
福特, 福克斯, 2017款, 两厢, 1.6L, 手动舒适型智行版,,,2016, 7.6万公里, 店内直卖,严选车,14,0,5.19
大众, 捷达, 2015款, 质惠版, 1.6L, 手动舒适型,,,2016, 5.3万公里, 店内直卖,严选车,13.5,0,4.75
丰田, 卡罗拉, 2011款, 1.6L, 手动GL,,,,2011, 8.3万公里, 到店服务,严选车,14.9,0,4.13
Smart, smart, fortwo, 2015款,1, MHD, 炫闪特别版,,2015, 6.0万公里, 到店服务,超值严选车,60.6,1,5.81
大众, 宝来, 2019款, 280TSI, DSG豪华型,,,,2018, 0.1万公里, 到店服务,严选车,8.7,1,12.33
吉利, 博越, 2016款, 2.0L, 手动智联型,,,,2017, 4.1万公里, 到店服务,严选车,14.8,0,6.63
荣威RX5, 2016款, 20T, 两驱手动旗舰版,,,,,2017, 2.4万公里, 到店服务,严选车,11.5,0,6.99
奥迪A4L, 2012款,2, TFSI, 自动舒适型,,,,2012, 7.7万公里, 到店服务,严选车,40,0,12.73
东南DX7, 2016款, 1.5T, 自动荣耀版,,,,,2016, 4.7万公里, 到店服务,严选车,41.6,0,6.55
现代, 名图, 2016款, 1.6T, 自动旗舰型TOP,,,,2016, 8.3万公里, 到店服务,严选车,11.2,1,8.91
丰田, 卡罗拉, 2014款, 1.6L, CVT, GL,,,2016, 3.3万公里, 店内直卖,严选车,21.7,0,7.94
传祺GS5, 2012款, 2.0L, 自动两驱周年纪念版,,,,,2013, 9.1万公里, 到店服务,严选车,9.7,0,4.6
雪铁龙C5, 2013款, 2.0L, 自动尊享型,,,,,2013, 8.2万公里, 到店服务,严选车,7.8,0,6.21
标致2008, 2014款, 1.6L, 自动时尚版,,,,,2016, 4.6万公里, 到店服务,严选车,52.6,0,5.2
别克, 君越, 2011款, eAssist, 2.4L雅致版,,,,2012, 8.0万公里, 到店服务,严选车,13,0,6.13
雪佛兰, 科鲁兹, 2017款, 1.4T, 双离合炫锋版,,,,2017, 1.0万公里, 到店服务,严选车,10.8,0,7.78
现代, 朗动, 2012款, 1.6L, 手动领先型,,,,2014, 6.8万公里, 到店服务,严选车,21.6,0,4.54
Smart, smart, fortwo, 2012款,1, MHD, 硬顶标准版,,2012, 4.8万公里, 到店服务,严选车,14,0,4.4
雪铁龙C5, 2012款, 2.0L, 自动尊享型,,,,,2013, 7.5万公里, 到店服务,严选车,14.8,0,5.75
别克, 威朗, 2015款, 三厢, 15S, 自动领先型,,,2016, 4.1万公里, 到店服务,超值急售,27.4,1,7.42
斯柯达, 昊锐, 2012款, 1.4TSI, DSG优雅版,,,,2014, 7.8万公里, 到店服务,严选车,9.3,0,6.47
丰田, 卡罗拉, 2014款, 1.6L, CVT, GL,,,2015, 3.7万公里, 到店服务,,9.7,1,7.35
大众POLO, 2011款, 1.4L, 自动致酷版,,,,,2011, 5.7万公里, 到店服务,,15.1,0,3.48
别克, 君威, 2014款, 2.0L, 领先时尚型,,,,2014, 7.5万公里, 到店服务,准新车,13.1,0,7.18
雪佛兰, 科帕奇, 2012款, 2.4L, 四驱旗舰版, 7座,,,2013, 8.2万公里, 到店服务,超值,12.5,0,7.09
现代, 名图, 2014款, 1.8L, 自动智能型GLS,,,,2014, 3.8万公里, 到店服务,严选车,14,0,7.92
大众POLO, 2013款, 1.6L, 自动舒适版,,,,,2013, 6.5万公里, 到店服务,严选车,34,0,4.37
现代ix35, 2018款, 2.0L, 自动两驱智勇·畅享版,,,,,2018, 0.9万公里, 到店服务,严选车,18.5,0,10.75
比亚迪G5, 2014款, 1.5TI, 手动尊贵型,,,,,2015, 4.7万公里, 到店服务,急售,18,0,3.22
别克, 凯越, 2013款, 1.5L, 自动经典型,,,,2014, 5.5万公里, 到店服务,严选车,20.3,0,3.89
江淮, 瑞风S2, 2015款, 1.5L, CVT豪华智能型,,,,2015, 4.9万公里, 到店服务,,11.3,1,3.4
大众CC, 2012款, 1.8TSI, 精英型,,,,,2012, 7.0万公里, 到店服务,,18.2,0,10.32
大众, 朗逸, 2013款, 改款, 1.4TSI, DSG舒适版,,,2013, 3.9万公里, 到店服务,,11.3,0,6.84
福特, 福克斯, 2012款, 两厢, 1.6L, 自动舒适型,,,2013, 9.7万公里, 到店服务,超值急售,15.1,0,4.25
日产, 阳光, 2011款, 1.5XL, CVT豪华版,,,,2012, 9.8万公里, 到店服务,,29.9,0,3.67
凯迪拉克CT6, 2016款, 28T, 豪华型,,,,,2016, 4.5万公里, 到店服务,,39.2,0,24.88
本田, 雅阁, 2010款, 2.0L, EX,,,,2010, 2.7万公里, 到店服务,急售,43.2,0,7.17
马自达, 昂克赛拉, 2016款, 三厢, 1.5L, 自动舒适型,,,2016, 1.9万公里, 到店服务,急售,11.3,1,8.75
本田XR-V, 2015款, 1.5L, LXi, CVT经典版,,,,2015, 3.6万公里, 到店服务,,8.2,1,9.14
传祺GA6, 2016款, 235T, DCT精英版,,,,,2017, 2.6万公里, 到店服务,急售,16.5,0,6.77
宝马5系, 2014款, 525Li, 豪华设计套装,,,,,2014, 4.6万公里, 到店服务,,22,0,27.14
丰田, 威驰, 2017款, 1.5L, CVT创行版,,,,2016, 3.5万公里, 到店服务,急售,9,1,6.17
雪铁龙C3-XR, 2015款, 1.6L, 自动先锋型,,,,,2016, 3.5万公里, 到店服务,,9.3,0,6.25
斯柯达, 速派, 2013款, 1.8TSI, 自动名仕版,,,,2014, 7.5万公里, 到店服务,急售,4.5,1,7.97
雪佛兰, 科鲁兹, 2012款, 1.8L, SE, AT,,,2012, 9.4万公里, 到店服务,超值急售,14.1,0,4
奔驰C级, 2010款, C,200, CGI, 时尚型,,,2011, 9.7万公里, 到店服务,,13.9,0,9.38
丰田, 凯美瑞, 2013款, 200G, 经典豪华版,,,,2014, 5.7万公里, 到店服务,准新车,11.6,0,10.11
比亚迪, 速锐, 2015款, 1.5L, 手动豪华型,,,,2015, 5.2万公里, 到店服务,急售,9.5,0,3.2
起亚, 智跑, 2015款, 2.0L, 自动两驱版GL,,,,2015, 6.9万公里, 到店服务,,14.1,0,8
别克, 凯越, 2013款, 1.5L, 自动经典型,,,,2013, 9.8万公里, 到店服务,超值急售,20.6,0,3.82
别克, 昂科拉, 2013款, 1.4T, 自动两驱精英型,,,,2013, 4.6万公里, 到店服务,超值急售准新车,12.9,1,5.79
路虎, 揽胜极光, 2015款, 2.0T, 五门智耀版,,,,2015, 3.2万公里, 到店服务,,30.8,0,20.93
别克, 君威, 2014款, GS, 2.0T, 纵情运动版,,,2014, 3.2万公里, 到店服务,急售,10.8,0,10.78
Jeep, 指南者, 2014款, 2.4L, 四驱蛇行珍藏版(进口),,,,2014, 6.8万公里, 到店服务,急售,48.8,0,9.55
长安, 睿骋, 2014款, 1.8T, 自动精英周年版, 国V,,,2016, 3.6万公里, 到店服务,急售,14.8,0,6.2
日产, 阳光, 2015款, 1.5XE, 手动大师版,,,,2016, 4.3万公里, 到店服务,超值准新车,6.3,0,4.35
日产, 天籁, 2011款, 2.0L, XL舒适版,,,,2013, 7.5万公里, 到店服务,准新车,11.9,1,8.15
宝马3系, 2015款, 328Li, xDrive时尚型,,,,,2015, 5.8万公里, 店内直卖,超值急售,11.3,0,21.81
路虎, 发现神行, 2016款, 2.0T, HSE,,,,2016, 4.8万公里, 到店服务,急售,10.7,0,22.08
大众, 捷达, 2015款, 1.4L, 手动舒适型,,,,2015, 5.4万公里, 到店服务,急售,19.5,1,4.22
别克, 凯越, 2011款, 1.6LE-AT,,,,,2012, 10.3万公里, 到店服务,,115.4,1,2.86
丰田, 卡罗拉, 2014款, 1.6L, CVT, GLX-i,,,2015, 4.4万公里, 到店服务,,7.5,0,8.68
荣威350, 2013款, 350C, 1.5L, 自动迅悦版,,,,2013, 6.2万公里, 到店服务,急售,10.7,1,3.41
众泰T600, 2015款, 2.0T, 自动尊贵型,,,,,2015, 2.6万公里, 到店服务,急售,16.3,0,4.72
本田, 锋范经典, 2012款, 1.5L, 自动精英版,,,,2013, 6.1万公里, 到店服务,,24.2,1,4.91
日产, 骐达, 2011款, 1.6L, CVT舒适型,,,,2012, 7.7万公里, 到店服务,,12.5,0,4.98
奇瑞, 艾瑞泽7, 2013款, 1.6L, CVT致尚版,,,,2014, 7.7万公里, 到店服务,超值急售,9.3,0,3.63
斯柯达, 速派, 2013款, 1.4TSI, DSG绅仕版,,,,2014, 6.6万公里, 到店服务,,47.3,0,7.18
捷豹XE, 2015款, 2.0T, 200PS, R-Sport,,,,2016, 3.2万公里, 到店服务,准新车,12.9,0,20.08
福特, 福睿斯, 2015款, 1.5L, 自动舒适型,,,,2015, 8.1万公里, 到店服务,超值,8.7,1,5.28
马自达, 昂克赛拉, 2016款, 三厢, 1.5L, 自动舒适型,,,2016, 2.3万公里, 到店服务,急售,10.9,0,8.83
江淮, 瑞风S5, 2015款, 1.5T, 自动精英型,,,,2016, 5.0万公里, 到店服务,,9.3,1,4.5
大众POLO, 2014款, 1.6L, 手动舒适版,,,,,2016, 5.7万公里, 到店服务,急售,13.5,0,4.92
福特, 福克斯, 2011款, 三厢, 1.8L, 手动经典型,,,2012, 7.2万公里, 到店服务,,14.9,0,2.73
宝马1系, 2015款, 118i, 领先型(进口),,,,,2015, 4.7万公里, 到店服务,,10,1,12.48
斯巴鲁XV, 2014款, 2.0i, 豪华版,,,,,2015, 2.6万公里, 到店服务,急售,14.9,0,12.31
福特, 福克斯, 2011款, 两厢, 1.8L, 手动舒适型,,,2012, 6.6万公里, 到店服务,,11.9,0,2.99
马自达, 昂克赛拉, 2016款, 三厢, 1.5L, 自动舒适型,,,2016, 3.5万公里, 到店服务,急售,22,1,8.33
奇瑞, 瑞虎5, 2014款, 2.0L, 手动智云版,,,,2015, 3.6万公里, 到店服务,,10,0,4.26
本田CR-V, 2015款, 2.0L, 两驱风尚版,,,,,2015, 2.1万公里, 到店服务,,23.8,1,13
福特, 福克斯, 2012款, 三厢, 1.6L, 自动舒适型,,,2012, 5.4万公里, 到店服务,急售,9.8,1,4.43
别克, 凯越, 2011款, 1.6LE-MT,,,,,2012, 8.6万公里, 到店服务,急售,32.5,0,2.52
哈弗H6, 2016款, 升级版, 1.5T, 手动两驱精英型,,,,2016, 4.5万公里, 到店服务,超值,62.7,1,5.22
哈弗H6, 2015款, 升级版, 1.5T, 手动两驱精英型,,,,2015, 3.6万公里, 到店服务,,15,0,5.47
福特, 福克斯, 2012款, 三厢, 1.6L, 自动舒适型,,,2012, 8.0万公里, 到店服务,准新车,11.5,0,4.1
斯柯达, 明锐, 2012款, 1.6L, 手动逸俊版,,,,2011, 6.6万公里, 到店服务,急售,13.7,1,3.38
大众, 朗逸, 2013款, 改款经典, 1.6L, 自动风尚版,,,2014, 8.4万公里, 到店服务,,48.1,0,6.1
奔驰GLA级, 2015款, GLA,200, 动感型,,,,2015, 4.8万公里, 到店服务,,12.2,0,17.35
奔驰GLA级, 2015款, GLA,220, 4MATIC, 豪华型,,,2015, 3.7万公里, 到店服务,急售,10.8,0,19.07
标致308, 2014款, 乐享版, 经典, 1.6L, 手动优尚型,,,2015, 7.9万公里, 到店服务,急售,14.8,1,3.86
现代ix25, 2015款, 1.6L, 自动两驱智能型GLS,,,,,2016, 2.0万公里, 到店服务,急售,9.3,0,8.53
凯迪拉克ATS-L, 2014款, 25T, 时尚型,,,,,2014, 3.9万公里, 到店服务,,13.6,1,14.72
哈弗H6, 2014款, 运动版, 1.5T, 手动两驱精英型,,,,2014, 6.7万公里, 到店服务,,13.5,0,5.73
丰田, 雷凌, 2014款, 1.6G, CVT精英版,,,,2015, 8.8万公里, 到店服务,急售,9.6,0,7.98
大众, 朗逸, 2015款, 1.6L, 自动舒适版,,,,2016, 4.9万公里, 到店服务,,8.6,0,8.04
宝马X3, 2013款, xDrive28i, 领先型(进口),,,,,2014, 11.2万公里, 到店服务,急售,15.7,0,19.83
丰田, 威驰, 2014款, 1.5L, 手动智臻版,,,,2015, 7.1万公里, 到店服务,,9.4,0,4.44
别克, 英朗, 2013款, XT, 1.6L, 自动时尚版,,,2013, 2.9万公里, 到店服务,,18.4,1,5.19
宝马5系, 2013款, 525Li, 豪华型,,,,,2012, 1.5万公里, 到店服务,急售,24.1,1,25.94
哈弗H6, 2015款, 运动版, 1.5T, 自动两驱豪华型,,,,2015, 7.4万公里, 到店服务,急售,10.5,0,6.12
日产, 奇骏, 2014款, 2.0L, CVT舒适版, 2WD,,,2016, 8.2万公里, 到店服务,急售准新车,13,1,11.8
标致308, 2014款, 乐享版, 经典, 1.6L, 手动优尚型,,,2015, 6.5万公里, 到店服务,,12.7,0,4.18
凯迪拉克ATS-L, 2016款, 28T, 豪华型,,,,,2016, 2.4万公里, 到店服务,,32.3,0,18.3
奥迪Q5, 2013款,40, TFSI, 进取型,,,,2013, 2.8万公里, 到店服务,急售,11.7,0,20.24
比亚迪G5, 2014款, 1.5TID, 自动旗舰型,,,,,2016, 4.5万公里, 到店服务,,13.3,0,4.34
雪佛兰, 迈锐宝, 2013款, 2.4L, 自动豪华版,,,,2013, 3.9万公里, 到店服务,急售,15.6,0,8.18
本田, 锋范, 2015款, 1.5L, CVT舒适版,,,,2016, 4.3万公里, 到店服务,,69.4,0,6.45
雪佛兰, 2015款, 赛欧3, 1.3L, AMT理想天窗版,,,,2015, 3.0万公里, 到店服务,急售,19.7,0,3.97
奔驰GLK级, 2013款, 改款, GLK,300, 4MATIC, 时尚型,,2014, 8.5万公里, 到店服务,超值急售,15,0,21.67
雪佛兰, 科鲁兹, 2013款, 1.6L, SE, MT,,,2013, 7.7万公里, 到店服务,,14.3,0,3.97
起亚K2, 2011款, 三厢, 1.6L, AT, Premium,,,2012, 11.2万公里, 到店服务,,30.4,0,3.56
现代, 索纳塔八, 2013款, 2.0L, 自动尊贵版,,,,2013, 7.3万公里, 到店服务,急售,15.2,0,7.99
现代, 全新胜达, 2015款, 2.0T, 自动两驱智能型, 5座,,,2015, 2.7万公里, 到店服务,,11.1,1,12.63
哈弗H6, 2014款, 运动版, 1.5T, 手动两驱精英型,,,,2014, 5.7万公里, 到店服务,急售,30.2,0,5.28
传祺GS5, 2014款, 2.0L, 自动两驱超享版,,,,,2014, 5.4万公里, 到店服务,急售,13,0,5.57
福特, 蒙迪欧-致胜, 2011款, 2.0L, GTDi240至尊型,,,,2013, 13.1万公里, 到店服务,超值,21,0,5.15
中华H530, 2011款, 1.6L, 手动舒适型,,,,,2014, 3.8万公里, 到店服务,急售,22.8,0,2.53
金杯, 海狮, 2014款, 2.0L豪华型V19,,,,,2016, 1.1万公里,,急售,13.2,0,4.8
MG6, 2014款, 掀背, 1.8T, 自动性能版,,,,2014, 6.4万公里, 到店服务,急售,12.3,0,4.8
丰田, 卡罗拉, 2018款, 1.2T, S-CVT, GL智享版,,,2018, 1.2万公里, 到店服务,,14.6,0,8.99
起亚K3, 2013款, 1.6L, 手动GLS,,,,,2014, 7.5万公里, 到店服务,,16.8,0,4.2
斯柯达, 明锐, 2015款, 1.6L, 手动逸杰版,,,,2015, 4.3万公里, 到店服务,超值急售,24.9,0,6.04
奥迪A4L, 2016款,35, TFSI, 典藏版, 自动标准型,,,2016, 2.4万公里, 到店服务,急售,13.7,0,19.35
大众, 速腾, 2015款, 230TSI, 自动豪华型,,,,2016, 4.3万公里, 到店服务,急售,11.3,0,9.9
福特, 福克斯, 2015款, 两厢, EcoBoost,180, 自动运动型,,2016, 2.3万公里, 到店服务,严选车,16.2,0,9
雪佛兰, 迈锐宝, 2014款, 2.0L, 自动豪华版,,,,2015, 3.9万公里, 到店服务,严选车,15.7,0,9.25
大众POLO, 2016款, 1.6L, 自动舒适型,,,,,2016, 3.7万公里, 到店服务,急售,35.8,0,6.7
大众, 高尔夫, 2012款, 1.4TSI, 自动豪华型,,,,2013, 6.8万公里, 到店服务,急售,16.4,0,7.7
奇瑞, 瑞虎5, 2017款, 1.5T, CVT舒适版,,,,2016, 3.6万公里, 到店服务,超值严选车,13.9,0,5.7
马自达, 昂克赛拉, 2014款, 两厢, 1.5L, 自动豪华型,,,2015, 5.8万公里,,,43.2,0,7.1
别克, 君越, 2012款, 2.4L, SIDI豪华版,,,,2012, 7.1万公里, 到店服务,严选车,25.6,0,7.5
福特, 撼路者, 2016款, 2.0T, 汽油自动四驱旗舰版,,,,2015, 6.9万公里, 到店服务,,8.2,0,17.71
捷豹XE, 2015款, 2.0T, 200PS, R-Sport,,,,2016, 2.3万公里,,超值急售,11.5,0,18.8
大众POLO, 2016款, 1.6L, 自动舒适型,,,,,2017, 2.1万公里, 到店服务,,11.9,0,7.2
大众POLO, 2016款, 1.4L, 手动风尚型,,,,,2017, 1.4万公里, 到店服务,,16.3,0,5.5
丰田, 卡罗拉, 2012款, 炫装版, 1.8L, CVT, GL-i,,2012, 7.4万公里, 到店服务,急售,15.1,0,6.78
丰田, 凯美瑞, 2015款, 2.0G, 豪华版,,,,2014, 5.7万公里, 到店服务,,44.5,0,11.3
传祺GA3, 2013款, 1.6L, 手动豪华版,,,,,2014, 5.8万公里,,严选车,9.7,0,2.6
大众POLO, 2013款, 1.4L, 手动风尚版,,,,,2013, 5.5万公里, 到店服务,急售准新车,31.5,0,4
五菱宏光, 2015款, 1.2L, S基本型,,,,,2017, 0.8万公里, 到店服务,急售,23.4,0,3.38
比亚迪S7, 2016款, 2.0T, 自动尊贵型,,,,,2016, 7.7万公里, 到店服务,,22.6,0,5.55
五菱荣光, 1.2L基本型,,,,,,,2012, 7.0万公里,,,16.8,0,1
大众, 宝来, 2014款, 1.6L, 自动舒适型,,,,2014, 4.8万公里, 到店服务,超值急售,24.6,0,6.35
起亚K3, 2016款, 1.6L, 自动GL,,,,,2018, 2.1万公里, 到店服务,,10.8,0,7.2
丰田, 威驰, 2014款, 1.5L, 自动智臻版,,,,2014, 4.3万公里, 到店服务,,23.8,0,5.8
马自达3星骋, 2013款, 两厢, 1.6L, 自动精英型,,,,2014, 5.1万公里, 到店服务,急售,12.5,0,6
丰田, RAV4, 2009款, 2.0L, 手动经典版,,,,2011, 12.0万公里, 到店服务,严选车,22.8,0,5.75
别克, 英朗, 2018款, 15T, 双离合进取型, 国V,,,2018, 1.5万公里, 到店服务,,52.7,0,7
大众CC, 2016款, 2.0TSI, 豪华型,,,,,2016, 8.1万公里, 到店服务,,12.1,0,15.8
斯柯达, 昕动, 2016款, 改款, 1.6L, 自动创行版,,,2016, 6.5万公里, 到店服务,,17.4,0,5.73
林肯MKX, 2015款, 2.0T, 两驱尊享版,,,,,2016, 7.2万公里, 到店服务,,42.1,0,22.22
雪铁龙C4L, 2014款, 1.8L, 智驱版, 手动劲享型,,,,2014, 4.7万公里, 到店服务,准新车,19.5,0,5.32
长安, 逸动DT, 2018款, 1.6L, 手动悦享型,,,,2018, 2.4万公里,,,16.6,0,4.2
本田, 凌派, 2019款, 180Turbo, CVT舒适版,,,,2019, 800公里, 到店服务,,28.2,0,10
标致308, 2012款, 1.6L, 手动优尚型,,,,,2013, 9.6万公里,,,22,0,2.8
大众, 捷达, 2013款, 1.6L, 自动时尚型,,,,2014, 4.5万公里, 到店服务,急售,41,0,5.08
马自达6, 2011款, 2.0L, 自动时尚型,,,,,2012, 4.0万公里, 到店服务,急售,3.6,0,6.3
宝马X6, 2013款, xDrive35i(进口),,,,,,2016, 4.3万公里, 到店服务,急售准新车,22.5,0,40.2
奇瑞, 瑞虎3, 2016款, 1.6L, 手动风尚版,,,,2016, 1.0万公里, 到店服务,,16.9,0,4
荣威350, 2011款, 350S, 1.5L, 自动迅达版,,,,2011, 8.7万公里,,,28.9,0,2.3
传祺GA6, 2015款, 1.8T, 自动豪华导航型,,,,,2015, 7.6万公里,,,34,0,5.84
标致3008, 2015款, 1.6THP, 罗兰·加洛斯版,,,,,2016, 3.4万公里, 到店服务,急售,12.7,0,8.8
日产, 骐达, 2011款, 1.6L, CVT舒适型,,,,2014, 1.8万公里, 到店服务,急售,14.9,0,7
大众POLO, 2011款, 劲取, 1.4L, 手动实乐版,,,,2012, 8.1万公里,,准新车,38.9,0,2.75
宝马5系, 2014款, 520Li, 典雅型,,,,,2014, 8.8万公里, 到店服务,严选车,16.8,0,23.8
哈弗H6, 2018款, 蓝标, 运动版, 1.5T, 自动两驱尊贵型,,,2018, 1.3万公里, 到店服务,,31.6,0,9.3
海马S5, 2015款, 1.6L, 手动舒适型,,,,,2016, 1.9万公里, 到店服务,急售,11.4,0,4.2
丰田, 花冠, 2013款, 1.6L, 手动卓越版,,,,2013, 9.7万公里, 到店服务,严选车,13.2,0,4.5
本田, 飞度, 2016款, 1.5L, LXS, CVT舒适天窗版,,,2017, 1.8万公里, 到店服务,超值,18.4,0,7.58
福特, 福克斯, 2015款, 三厢, 1.6L, 自动舒适型,,,2016, 3.4万公里, 到店服务,,29.3,0,7.4
大众, 朗行, 2013款, 1.4TSI, 手动舒适型,,,,2014, 7.9万公里, 到店服务,,26,0,5.8
铃木, 启悦, 2015款, 1.6L, 自动舒享型,,,,2015, 5.2万公里,,准新车,40.1,0,5.5
大众, 朗逸, 2015款, 1.6L, 自动舒适版,,,,2015, 8.0万公里, 到店服务,,51.6,0,7.5
现代, 悦动, 2011款, 1.6L, 手动豪华型,,,,2012, 2.5万公里, 到店服务,,8.8,0,3.5
本田, 雅阁, 2011款, 2.0L, EX,,,,2011, 7.3万公里, 到店服务,,19.7,0,8.34
别克, 凯越, 2015款, 1.5L, 自动经典型,,,,2016, 6.4万公里, 到店服务,急售,19.5,0,4.6
大众, 帕萨特, 2013款, 1.8TSI, DSG尊荣版,,,,2013, 6.2万公里, 到店服务,急售,13,0,10
雪佛兰, 科鲁兹, 2015款, 1.5L, 经典, SL, MT,,2015, 6.5万公里, 到店服务,急售,20.2,0,4.2
大众, 迈腾, 2015款, 改款, 2.0TSI, 旗舰型,,,2016, 13.4万公里, 到店服务,,30,0,14.17
路虎, 揽胜极光, 2014款, 2.0T, 5门耀享版(进口),,,,2014, 9.4万公里,,急售,21.3,0,18.5
大众, 朗逸, 2013款, 改款经典, 1.6L, 自动舒适版,,,2015, 4.5万公里,,,42.7,0,7.82
福特, 翼搏, 2018款, 1.5L, 自动铂翼型,,,,2018, 0.7万公里, 到店服务,严选车,25.3,0,8.8
大众, 朗逸, 2013款, 1.6L, 手动舒适版,,,,2013, 10.8万公里,,超值,85.5,0,5.21
奔驰E级, 2014款, E,260, L, 运动型,,,2013, 12.3万公里, 到店服务,,9.3,0,20.8
马自达3星骋, 2011款, 三厢, 1.6L, 手动舒适型,,,,2013, 0.2万公里, 到店服务,急售,8.7,0,4.3
大众, 桑塔纳, 2013款, 1.6L, 自动风尚版,,,,2014, 1.4万公里,,超值,52.7,0,6
哈弗H6, 2015款, 运动版, 1.5T, 自动两驱豪华型,,,,2016, 4.3万公里, 到店服务,急售,13,0,7.3
大众POLO, 2011款, 1.4L, 手动致乐版,,,,,2012, 4.7万公里, 到店服务,严选车,23.6,0,3.7
雪佛兰, 科鲁兹, 2017款, 1.5L, 自动先锋天窗版,,,,2017, 3.0万公里, 到店服务,,26,0,7.5
大众, 朗逸, 2011款, 1.6L, 自动品悠版,,,,2011, 11.7万公里, 到店服务,,24.9,0,4.2
长安, 逸动, 2012款, 1.6L, 自动豪华型, 国IV,,,2013, 5.3万公里,,,39.9,0,4.06
